title,authors,year,url,source,label,cluster,predicted_label
"Segmentation, Detection and Explanation: A Unified Framework for CT Appearance Reasoning",Yuyuan Liu; Can Peng; Yingyu Yang; Qianye Yang; Cheng Ouyang; J. Alison Noble,2026,https://arxiv.org/abs/2605.15997,arxiv,other,1,other
Runtime-Structured Task Decomposition for Agentic Coding Systems,Shubhi Asthana; Bing Zhang; Chad DeLuca; Hima Patel; Ruchi Mahindru,2026,https://arxiv.org/abs/2605.15425,arxiv,other,0,other
Does Theory of Mind Improvement Really Benefit Human- AI Interactions? Empirical Findings from Interactive Evaluations,Nanxu Gong; Zixin Chen; Haotian Li; Zishu Zhao; Jianxun Lian; Huamin Qu; Yanjie Fu; Xing Xie,2026,https://arxiv.org/abs/2605.15205,arxiv,other,1,llm_agents
SpeakerLLM: A Speaker-Specialized Audio-LLM for Speaker Understanding and Verification Reasoning,KiHyun Nam; Jungwoo Heo; Siu Bae; Ha-Jin Yu; Joon Son Chung,2026,https://arxiv.org/abs/2605.15044,arxiv,other,1,other
Agentic Design of Compositional Descriptors via Autoresearch for Materials Science Applications,Matteo Cobelli; Stefano Sanvito,2026,https://arxiv.org/abs/2605.14671,arxiv,llm_agents,1,llm_agents
OpenComputer: Verifiable Software Worlds for Computer-Use Agents,Jinbiao Wei; Qianran Ma; Yilun Zhao; Xiao Zhou; Kangqi Ni; Guo Gan; Arman Cohan,2026,https://arxiv.org/abs/2605.19769,arxiv,other,1,other
Prospective multi-pathogen disease forecasting using autonomous LLM -guided tree search,Sarah Martinson; Michael P. Brenner; Martyna Plomecka; Brian P. Williams; Nicholas G. Reich; Zahra Shamsi,2026,https://arxiv.org/abs/2605.16238,arxiv,other,1,other
Assistance to Autonomy: A Systematic Literature Review of Agentic AI across the Software Development Life Cycle,Spyridon Alvanakis Apostolou; Jan Bosch; Helena Holmström Olsson,2026,https://arxiv.org/abs/2605.15245,arxiv,other,1,other
Is Agentic AI Ready for Real-World Hardware Engineering? A Deep Dive with Phoenix-bench,Qingyun Zou; Feng Yu; Hongshi Tan; Bingsheng He; WengFai Wong,2026,https://arxiv.org/abs/2605.15226,arxiv,other,0,other
Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM -Judge Baselines,Ali Hassaan Mughal; Noor Fatima; Muhammad Bilal,2026,https://arxiv.org/abs/2605.14568,arxiv,other,0,other
Making OpenAPI Documentation Agent-Ready: Detecting Documentation and REST Smells with a Multi-Agent LLM System,Rayfran Rocha Lima; Davi G. Assunção Pinheiro; Thiago Medeiros de Menezes,2026,https://arxiv.org/abs/2605.14312,arxiv,llm_agents,1,llm_agents
Bidirectional Empowerment of Metamorphic Testing and Large Language Models: A Systematic Survey,Zheng Zheng; Zenghui Zhou; Yinwang Xu; Daixu Ren; Tsong Yueh Chen,2026,https://arxiv.org/abs/2605.13898,arxiv,llm_agents,1,llm_agents
(How) Do Large Language Models Understand High-Level Message Sequence Charts?,Mohammad Reza Mousavi,2026,https://arxiv.org/abs/2605.13773,arxiv,other,1,other
RepoZero: Can LLMs Generate a Code Repository from Scratch?,Zhaoxi Zhang; Yiming Xu; Jiahui Liang; Weikang Li; Xiaoshuai Chen; Liwei Qian; Xin Pei; Jizhou Huang; Run Sun; Yunfang Wu,2026,https://arxiv.org/abs/2605.07122,arxiv,llm_agents,1,other
SmellBench: Evaluating LLM Agents on Architectural Code Smell Repair,Ion George Dinu; Marian Cristian Mihăescu; Traian Rebedea,2026,https://arxiv.org/abs/2605.07001,arxiv,llm_agents,0,llm_agents
Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,Shravya Kanchi; Xiaoyan Zang; Ying Zhang; Danfeng Yao; Na Meng,2026,https://arxiv.org/abs/2605.03956,arxiv,other,1,other
HepScript: A Dual-Use DSL for Human-AI Collaborative Data Analysis Workflows in High-Energy Physics,Junkun Jiao; Tong Liu; Ke Li; Weimin Song; Yipu Liao; Bolun Zhang; Beijiang Liu; Chang-Zheng Yuan; Yue Sun,2026,https://arxiv.org/abs/2605.01423,arxiv,llm_agents,1,llm_agents
Think Harder and Don't Overlook Your Options: Revisiting Issue-Commit Linking with LLM -Assisted Retrieval,Cole Morgan; Muhammad Asaduzzaman; Shaiful Chowdhurry; Shaowei Wang,2026,https://arxiv.org/abs/2605.00447,arxiv,other,2,other
Pragmos: A Process Agentic Modeling System,Pedro-Aarón Hernández-Ávalos; Luciano García-Bañuelos,2026,https://arxiv.org/abs/2604.27311,arxiv,other,1,llm_agents
CI-Repair-Bench: A Repository-Aware Benchmark for Automated Patch Validation via CI Workflows,Rabeya Khatun Muna; Md Nakhla Rafi; Tse-Hsun; Chen,2026,https://arxiv.org/abs/2604.27148,arxiv,cicd_ai,0,cicd_ai
"Adaptive and AI-Augmented Security Testing: A Systematic Survey of Program Analysis, Feedback-Driven Testing, and Hybrid Learning-Based Approaches",Michael Wienczkowski,2026,https://arxiv.org/abs/2604.27000,arxiv,cicd_ai,1,other
From Threads to Trajectories: A Multi- LLM Pipeline for Community Knowledge Extraction from GitHub Issue Discussions,Nazia Shehnaz Joynab; Soneya Binta Hossain,2026,https://arxiv.org/abs/2604.25880,arxiv,llm_agents,0,llm_agents
Mono2Sls: Automated Monolith-to-Serverless Migration via Multi-Stage Pipeline with Static Analysis,Xingyan Chen; Yuxin Su; Zishan Su; Yang Yu; Zibin Zheng,2026,https://arxiv.org/abs/2604.24550,arxiv,llm_agents,1,llm_agents
SymbolicLight V1: Spike-Gated Dual-Path Language Modeling with High Activation Sparsity and Sub-Billion-Scale Pre-Training Evidence,Ting Liu,2026,https://arxiv.org/abs/2605.21333,arxiv,other,0,other
An AI-driven robotic system for two-dimensional hetero-assemblies,Xiaoxi Li; Jinkun He; Haojie Liu; Xipeng Liu; Zewen Wu; Jing Li; Kai Zhao; Shan Li; Xingdan Sun; Xiaoxue Fan; Zhiren Xiong; Xingguang Wu; Xuanzhe Sha; Zhili Lin; Caixia Yang; Luosha Han; Jie Xu; Woye Pei; Kaining Yang; Jing Zhang; Xiaolong Feng; Tongyao Zhang; Zhu Liang; Kenji Watanabe; Takashi Taniguchi; et al. (6 additional authors not shown),2026,https://arxiv.org/abs/2605.20420,arxiv,other,3,other
From Prompts to Pavement Through Time: Temporal Grounding in Agentic Scene-to-Plan Reasoning,Ahmed Y. Gado; Omar Y. Goba; Alaa Hassanein; Catherine M. Elias; Ahmed Hussein,2026,https://arxiv.org/abs/2605.19824,arxiv,other,1,other
Latent Laplace Diffusion for Irregular Multivariate Time Series,Zinuo You; Jin Zheng; John Cartlidge,2026,https://arxiv.org/abs/2605.19805,arxiv,other,3,other
Operationalising Artificial Intelligence Bills of Materials (AIBOMs) for Verifiable AI Provenance and Lifecycle Assurance,Petar Radanliev; Omar Santos; Carsten Maple; Kay Atefi,2026,https://arxiv.org/abs/2605.19755,arxiv,other,1,other
Surviving the Unseen: Predictive Defense for Novel Multi-Turn Multimodal Attacks,Doohee You,2026,https://arxiv.org/abs/2605.18988,arxiv,llm_agents,3,llm_agents
Graph-Driven Cross-Industry Real-Time Monitoring Framework for Anti-Money Laundering Detection in Converged Mobility-Energy Supply Chain Networks,Rong Liu; Xiaojun Xiao; Zhanqing Su,2026,https://arxiv.org/abs/2605.18844,arxiv,other,3,other
GIM: Evaluating models via tasks that integrate multiple cognitive domains,Rohit Patel; Alexandre Rezende; Steven McClain,2026,https://arxiv.org/abs/2605.18663,arxiv,other,0,other
Latent Heuristic Search: Continuous Optimization for Automated Algorithm Design,Cheikh Ahmed; Mahdi Mostajabdaveh; Zirui Zhou,2026,https://arxiv.org/abs/2605.17137,arxiv,other,3,other
Scalable Uncertainty Reasoning in Knowledge Graphs,Jingcheng Wu,2026,https://arxiv.org/abs/2605.16568,arxiv,other,4,other
Artificial Intelligence in Lifelong Learning: Opportunities and Challenges in Adult Education Policy,Andresa Theodora; Nikolaos Tselios,2026,https://arxiv.org/abs/2605.16296,arxiv,other,4,other
A Topology-Aware Spatiotemporal Handover Framework for Continuous Multi-UAV Tracking,Jianlin Ye; Christos Kyrkou; Panayiotis Kolios,2026,https://arxiv.org/abs/2605.15779,arxiv,other,3,other
Structure Abstraction and Generalization in a Hippocampal-Entorhinal Inspired World Model,Tianqiu Zhang; Muyang Lyu; Xiao Liu; Si Wu,2026,https://arxiv.org/abs/2605.15733,arxiv,other,3,other
Discrete MeanFlow: One-Step Generation via Conditional Transition Kernels,Fairoz Nower Khan; Nabuat Zaman Nahim; Md Sajid Ahmed; Ruiquan Huang; Peizhong Ju,2026,https://arxiv.org/abs/2605.12805,arxiv,other,0,other
Early AI Literacy in Culturally Responsive STEM Outreach for Black Youth,Qusay H. Mahmoud; Kimberly Davis; Paula Duru; Laura Thursby; Hossam Kishawy,2026,https://arxiv.org/abs/2605.12355,arxiv,other,4,other
PointGS: Semantic-Consistent Unsupervised 3D Point Cloud Segmentation with 3D Gaussian Splatting,Yixiao Song; Qingyong Li; Wen Wang; Zhicheng Yan,2026,https://arxiv.org/abs/2605.11520,arxiv,other,3,other
From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines,Marcus Emmanuel Barnes; Taher A. Ghaleb; Safwat Hassan,2026,https://arxiv.org/abs/2605.07062,arxiv,cicd_ai,1,cicd_ai
From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,Jinghao Luo; Yuchen Tian; Chuxue Cao; Ziyang Luo; Hongzhan Lin; Kaixin Li; Chuyi Kong; Ruichao Yang; Jing Ma,2026,https://arxiv.org/abs/2605.06716,arxiv,llm_agents,1,other
LLM-Driven Design Space Exploration of FPGA-based Accelerators,Vinamra Sharma; Xingjian Fu; Jude Haris; José Cano,2026,https://arxiv.org/abs/2605.05920,arxiv,other,0,other
Local Truncation Error-Guided Neural ODEs for Large Scale Traffic Forecasting,Xiao Zhang; Yafei Li; Ruixiang Wang; Wei Wei; Shuo He; Mingliang Xu,2026,https://arxiv.org/abs/2605.03386,arxiv,other,3,other
Reinforcement Learning for Dynamic Workflow Optimization in CI/CD Pipelines,Aniket Abhishek Soni; Milan Parikh; Rashi Nimesh Kumar Dhenia; Jubin Abhishek Soni; Ayush Raj Jha; Sneja Mitinbhai Shah,2026,https://arxiv.org/abs/2601.11647,arxiv,cicd_ai,2,cicd_ai
"Comparative Analysis of AI-Driven Security Approaches in DevSecOps: Challenges, Solutions, and Future Directions",Farid Binbeshr; Muhammad Imam,2025,https://arxiv.org/abs/2504.19154,arxiv,other,4,other
LADs: Leveraging LLMs for AI-Driven DevOps,Ahmad Faraz Khan; Azal Ahmad Khan; Anas Mohamed; Haider Ali; Suchithra Moolinti; Sabaat Haroon; Usman Tahir; Mattia Fazzini; Ali R. Butt; Ali Anwar,2025,https://arxiv.org/abs/2502.20825,arxiv,devops_automation,4,devops_automation
ML DevOps Adoption in Practice: A Mixed-Method Study of Implementation Patterns and Organizational Benefits,Dileepkumar S R; Juby Mathew,2025,https://arxiv.org/abs/2502.05634,arxiv,devops_automation,4,devops_automation
AI for DevSecOps: A Landscape and Future Opportunities,Michael Fu; Jirat Pasuksmit; Chakkrit Tantithamthavorn,2024,https://arxiv.org/abs/2404.04839,arxiv,other,4,other
AI-augmented Automation for Real Driving Prediction: an Industrial Use Case,Romina Eramo; Hamzeh Eyal Salman; Matteo Spezialetti; Darko Stern; Pierre Quinton; Antonio Cicchetti,2024,https://arxiv.org/abs/2404.02841,arxiv,other,3,other
Challenges and Experiences of Iranian Developers with MLOps at Enterprise,Mohammad Heydari; Zahra Rezvani,2024,https://arxiv.org/abs/2402.12281,arxiv,devops_automation,4,other
Enabling the Deployment of Any-Scale Robotic Applications in Microservice Architectures through Automated Containerization,Jean-Pierre Busch; Lennart Reiher; Lutz Eckstein,2024,https://arxiv.org/abs/2309.06611,arxiv,other,2,other
Challenges and Barriers of Using Low Code Software for Machine Learning,Md Abdullah Al Alamin; Gias Uddin,2022,https://arxiv.org/abs/2211.04661,arxiv,devops_automation,4,devops_automation
Test Automation with Grad-CAM Heatmaps -- A Future Pipe Segment in MLOps for Vision AI?,Markus Borg; Ronald Jabangwe; Simon Åberg; Arvid Ekblom; Ludwig Hedlund; August Lidfeldt,2021,https://arxiv.org/abs/2103.01837,arxiv,devops_automation,4,devops_automation
"The Collective Knowledge project: making ML models more portable and reproducible with open APIs, reusable best practices and MLOps",Grigori Fursin,2020,https://arxiv.org/abs/2006.07161,arxiv,devops_automation,4,devops_automation
Log-based software monitoring: a systematic mapping study,Jeanderson Barros Cândido; Maurício Finavaro Aniche; Arie van Deursen,2021,https://arxiv.org/abs/1912.05878,arxiv,other,4,other
DeCaf: Diagnosing and Triaging Performance Issues in Large-Scale Cloud Services,Chetan Bansal; Sundararajan Renganathan; Ashima Asudani; Olivier Midy; Mathru Janakiraman,2020,https://arxiv.org/abs/1910.05339,arxiv,other,2,other
Dogfooding: use IBM Cloud services to monitor IBM Cloud infrastructure,William Pourmajidi; Andriy Miranskyy; John Steinbacher; Tony Erwin; David Godwin,2019,https://arxiv.org/abs/1907.06094,arxiv,other,4,other
